Set,Larva,Segment,NMJ,Boutons
Control,1,3L,1,5
Control,1,3R,2,11
Control,1,4L,3,5
Control,1,4R,4,10
Control,1,5L,5,0
Control,1,5R,6,2
Control,2,3L,7,10
Control,2,3R,8,8
Control,2,4L,9,1
Control,2,4R,10,7
Control,2,5L,11,11
Control,2,5R,12,7
Control,3,3L,13,8
Control,3,3R,14,4
Control,3,4L,15,4
Control,3,4R,16,0
Control,3,5L,17,2
Control,3,5R,18,2
Control,4,3L,19,9
Control,4,3R,20,4
Control,4,4L,21,2
Control,4,4R,22,0
Control,4,5L,23,3
Control,4,5R,24,1
Control,5,3L,25,17
Control,5,3R,26,14
Control,5,4L,27,3
Control,5,4R,28,13
Control,5,5L,29,0
Control,5,5R,30,1
RNAi,1,3L,1,8
RNAi,1,3R,2,1
RNAi,1,4L,3,2
RNAi,1,4R,4,21
RNAi,1,5L,5,5
RNAi,1,5R,6,4
RNAi,2,3L,7,1
RNAi,2,3R,8,3
RNAi,2,4L,9,4
RNAi,2,4R,10,3
RNAi,2,5L,11,0
RNAi,2,5R,12,3
RNAi,3,3L,13,0
RNAi,3,3R,14,0
RNAi,3,4L,15,4
RNAi,3,4R,16,1
RNAi,3,5R,18,3
RNAi,4,3L,19,2
RNAi,4,3R,20,11
RNAi,4,4L,21,2
RNAi,4,4R,22,3
RNAi,4,5L,23,1
RNAi,4,5R,24,2
RNAi,5,3L,25,6
RNAi,5,3R,26,2
RNAi,5,4L,27,8
RNAi,5,4R,28,0
RNAi,5,5L,29,3
RNAi,5,5R,30,3